Idő,TB,ER,CPI
2006-Q1,-127.061234524182,7.3421,100
2006-Q2,-124.09795099305,7.2806,100.892857142857
2006-Q3,-109.090486487226,7.3116,100.202922077922
2006-Q4,-99.3911347806607,7.3653,100.649350649351
2007-Q1,-144.543001425565,7.3655,101.623376623377
2007-Q2,-116.800891134901,7.3513,103.084415584416
2007-Q3,-102.427968555438,7.3081,103.084415584416
2007-Q4,-147.484026284186,7.3276,105.600649350649
2008-Q1,-184.033765049903,7.2841,107.62987012987
2008-Q2,-184.448894616424,7.2554,109.821428571429
2008-Q3,-158.719592325471,7.1822,110.75487012987
2008-Q4,-149.235849337979,7.175,110.308441558442
2009-Q1,-80.354860755053,7.4114,111.728896103896
2009-Q2,-89.3886516105348,7.3547,112.987012987013
2009-Q3,-69.2383890922001,7.3232,112.094155844156
2009-Q4,-101.04496845751,7.2759,112.13474025974
2010-Q1,-16.3896301176213,7.2861,112.702922077922
2010-Q2,-9.24638025468044,7.2483,113.758116883117
2010-Q3,-38.9237547565213,7.2532,113.311688311688
2010-Q4,-35.0460590718445,7.3673,113.798701298702
2011-Q1,-39.0011208526964,7.4024,115.25974025974
2011-Q2,-18.4699929651776,7.3918,116.35551948052
2011-Q3,-21.820354845626,7.4624,115.625
2011-Q4,-35.9938137096666,7.4969,116.639610389611
2012-Q1,-46.3661868152227,7.5572,116.964285714286
2012-Q2,-30.0365146804837,7.527,120.373376623377
2012-Q3,-12.5326011483331,7.4717,120.373376623377
2012-Q4,-17.1199758284084,7.5295,121.996753246754
2013-Q1,-30.1984230165742,7.5841,122.362012987013
2013-Q2,-54.4097579214866,7.5554,123.133116883117
2013-Q3,-25.5203597312946,7.5473,122.524350649351
2013-Q4,-20.8761197981519,7.6295,122.321428571428
2014-Q1,-1.98494045829464,7.6501,121.996753246754
2014-Q2,-11.316605216064,7.5996,122.646103896103
2014-Q3,-21.3042180859437,7.6236,122.280844155845
2014-Q4,11.0166717111099,7.6652,122.362012987013
2015-Q1,5.3836585048359,7.6821,121.469155844156
2015-Q2,8.53500541354181,7.5736,122.646103896103
2015-Q3,-8.79928711878276,7.5777,121.50974025974
2015-Q4,4.56209495447746,7.6226,121.387987012986
2016-Q1,24.3553455767488,7.6177,119.926948051948
2016-Q2,1.86227682795193,7.5043,120.535714285714
2016-Q3,18.8284291509862,7.4934,119.926948051948
2016-Q4,15.1183316052533,7.5228,121.14448051948
2017-Q1,45.6888998111666,7.4669,121.225649350649
2017-Q2,11.4543696506433,7.4308,121.834415584415
2017-Q3,-2.45093025447684,7.427,121.14448051948
2017-Q4,-4.56697225540953,7.533,122.767857142857
2018-Q1,-14.1886114733602,7.4381,122.402597402597
2018-Q2,10.2197397980563,7.3981,124.147727272728
2018-Q3,-17.2657286723468,7.4176,123.417207792208
2018-Q4,-53.486245939425,7.4189,124.310064935065
2019-Q1,-15.3994494300267,7.4214,123.092532467532
2019-Q2,-14.3223536389739,7.4183,125.040584415585
2019-Q3,2.12111743781868,7.3937,124.512987012988
2019-Q4,-9.09134004543432,7.4393,125.446428571429
2020-Q1,19.8666404069806,7.4893,124.756493506494
2020-Q2,-122.009955400734,7.5786,124.675324675325
2020-Q3,-185.162302592243,7.5263,124.391233766234
2020-Q4,-48.7351696540777,7.5595,125.040584415585
2021-Q1,23.9606673181812,7.5721,125.243506493506
2021-Q2,-102.975589879806,7.5295,127.272727272728
2021-Q3,-61.6610704281713,7.497,128.165584415585
2021-Q4,46.5844205009511,7.5177,130.925324675325
2022-Q1,-36.4250713225155,7.5432,133.319805194805
2022-Q2,-90.5039820943032,7.5395,140.99025974026
2022-Q3,-246.714387752387,7.5182,144.155844155844
